"ts_code","trade_date","open","high","low","close","pre_close","change","pct_chg","vol","amount","name","market"
"430017.BJ",20250626,21.58,21.64,21.01,21.36,21.53,-0.17,-0.7896,48825.28,103655.802,"星昊医药","北交所"
"430017.BJ",20250625,22.08,22.21,21.21,21.53,22.28,-0.75,-3.3662,84645.45,183010.373,"星昊医药","北交所"
"430017.BJ",20250624,21.99,22.56,21.8,22.28,22.05,0.23,1.0431,74296.4,164663.796,"星昊医药","北交所"
"430017.BJ",20250623,20.9,22.28,20.66,22.05,21.38,0.67,3.1338,72779.35,156741.706,"星昊医药","北交所"
"430017.BJ",20250620,20.69,21.72,20.6,21.38,20.9,0.48,2.2967,77023.7,162943.06,"星昊医药","北交所"
"430017.BJ",20250619,21.87,22.22,20.85,20.9,21.71,-0.81,-3.731,83056.4,178870.729,"星昊医药","北交所"
"430017.BJ",20250618,22.3,22.84,21.4,21.71,23.12,-1.41,-6.0986,109293.95,239931.547,"星昊医药","北交所"
"430017.BJ",20250617,25.45,26.35,23.18,23.28,24.23,-0.95,-3.9208,132159.47,327138.477,"星昊医药","北交所"
"430017.BJ",20250616,23.38,24.47,22.77,24.23,23.54,0.69,2.9312,106785.73,251989.851,"星昊医药","北交所"
"430017.BJ",20250613,24.9,27.68,23.5,23.54,25.5,-1.96,-7.6863,167742.57,421438.223,"星昊医药","北交所"
"430017.BJ",20250612,23.6,26.62,23.35,25.5,23.9,1.6,6.6946,185917.21,465202.894,"星昊医药","北交所"
"430017.BJ",20250611,23,24.38,22.5,23.9,23.36,0.54,2.3116,147932.69,345664,"星昊医药","北交所"
"430017.BJ",20250610,23.4,24.78,22.8,23.36,25.19,-1.83,-7.2648,229431.13,545793.76,"星昊医药","北交所"
"430017.BJ",20250609,19.71,25.72,19.61,25.19,19.79,5.4,27.2865,294834.07,713478.103,"星昊医药","北交所"
"430017.BJ",20250606,19.37,20.09,19.37,19.79,19.45,0.34,1.7481,44798.85,88383.594,"星昊医药","北交所"
"430017.BJ",20250605,20.4,20.5,19.34,19.45,20.49,-1.04,-5.0756,75757.41,149442.463,"星昊医药","北交所"
"430017.BJ",20250604,19.9,20.54,19.53,20.49,20.34,0.15,0.7375,101948.69,204515.26,"星昊医药","北交所"
"430017.BJ",20250603,19.08,20.7,18.88,20.34,19.25,1.09,5.6623,98531.3,196954.263,"星昊医药","北交所"
"430017.BJ",20250530,19.3,20.68,19.22,19.25,19.54,-0.29,-1.4841,124487.13,248380.473,"星昊医药","北交所"
"430017.BJ",20250529,18.35,19.58,18.18,19.54,18.38,1.16,6.3112,91856.24,175496.788,"星昊医药","北交所"
"430017.BJ",20250528,18.91,18.96,18.3,18.38,18.9,-0.52,-2.7513,44435.42,82272.95,"星昊医药","北交所"
"430017.BJ",20250527,18.32,19.24,18.3,18.9,18.55,0.35,1.8868,63471.76,119555.754,"星昊医药","北交所"
"430017.BJ",20250526,18.8,18.9,17.83,18.55,18.62,-0.07,-0.3759,65012.69,118600.548,"星昊医药","北交所"
"430017.BJ",20250523,18.35,19.3,18.22,18.62,18.15,0.47,2.5895,82479.22,155007.715,"星昊医药","北交所"
"430017.BJ",20250522,18.57,19.36,18.01,18.15,18.68,-0.53,-2.8373,78426.42,146279.467,"星昊医药","北交所"
"430017.BJ",20250521,18.5,19.63,18.5,18.68,18.65,0.03,0.1609,82900.33,158337.36,"星昊医药","北交所"
"430017.BJ",20250520,18.1,18.77,18.1,18.65,17.96,0.69,3.8419,75016.11,139311.717,"星昊医药","北交所"
"430017.BJ",20250519,18.3,18.38,17.78,17.96,18.72,-0.76,-4.0598,65963.42,118839.79,"星昊医药","北交所"
"430017.BJ",20250516,17.8,18.98,17.58,18.72,17.59,1.13,6.4241,106906.77,194759.112,"星昊医药","北交所"
"430017.BJ",20250515,16.93,17.75,16.76,17.59,16.99,0.6,3.5315,64921.44,113222.185,"星昊医药","北交所"
"430017.BJ",20250514,17.03,17.18,16.71,16.99,17.17,-0.18,-1.0483,45429.43,76730.671,"星昊医药","北交所"
"430017.BJ",20250513,17.77,17.82,17.17,17.17,17.65,-0.48,-2.7195,41409.88,72294.8,"星昊医药","北交所"
"430017.BJ",20250512,17.81,17.82,17.5,17.65,17.79,-0.14,-0.787,42061.37,74112.286,"星昊医药","北交所"
"430017.BJ",20250509,17.93,18.11,17.67,17.79,17.87,-0.08,-0.4477,31598.65,56417.144,"星昊医药","北交所"
"430017.BJ",20250508,17.84,17.95,17.69,17.87,17.88,-0.01,-0.0559,29032.52,51713.458,"星昊医药","北交所"
"430017.BJ",20250507,18,18.35,17.58,17.88,17.94,-0.06,-0.3344,44778.21,80413.62,"星昊医药","北交所"
"430017.BJ",20250506,17.61,17.95,17.5,17.94,17.39,0.55,3.1627,36297.73,64579.83,"星昊医药","北交所"
